user,comment,time,votes
@arismhvideo4891,"Seorang Mentri keuangan, diwawancara oleh seorang ekonom. Pemikirannya satu ide. Bahasannya kongkrit, anti normatif. anti mendongeng. INI TERLALU EKSLUSIF. Kapan kalian terakhir dapat tontonan semewah ini??",1 day ago,1.8K
@project2226,Ngerasa nguping pembicaraan yang ga seharusnya rakyat biasa dengar; terimakasih Pak Gita,2 days ago,2.6K
@alexanderthegreat1466,"Ayahku cuman tukang rumput ibuku tukang sapu dan aku pelayan resto ,bisa dengerin obrolan gini ... Rasanya bangga",1 day ago,1.1K
@rizky_wacaw,"Pak Purbaya serasa lebih serius ngbrol disini, karena teman ngobrolnya pak Gita😁, semenjak ada pak Purbaya, ekonomi terlihat seru ya..",1 day ago,278
@duniabahari1695,"Inii baruu sparing partner yg sepadan, penonton berasaa nonton seminar ekonomii yg isinyaa daging semua.",1 day ago,168
@sssb4442,ini bukan podcast... tapi obrolan berkelas utk kepentingan NKRI..,1 day ago (edited),723
@nofikurniawan,LUAR BIASA!!  Usia saya 38 Tahun. Rasa haus belajar saya bangkit kembali. ingin ber-sekolah lagi.,1 day ago (edited),624
@muhammadluthfi9901,Setelah banyak berseliweran “sekolah itu scam”. Dari pembicaraan ini kita harusnya sadar seberapa pentingnya sekolah setinggi tingginya,1 day ago,134
@robysetiawan3944,"Gila sih, ini obrolan daging. Walopun saya tukang paket😅",1 day ago,99
@Nando-dq5hi,"Obrolan Pak Gita dan Pak Purbaya ini akan menjadi arsip masa depan, dengan judul ""Segelintir pemikir indonesia yang berdiskusi bagamana indonesia bisa maju"".",1 day ago,50
@mazhentralalatrilili3176,"SEHARUSNYA BEGINI STANDAR MENTERI.
Teruji pendidikan ny.
G ad kepalsuan 😁",2 days ago,328
@nanangefendi8777,ini pentingnya pendiidkan guys.. jangan malas belajar yaa . pendiidkan tidak mengenal umur,1 day ago,176
@Breck5758,"""Mereka banyak melirik, kita sendiri yang mempersulit"" dhuarr...!!",1 day ago,239
@liayulia1260,"Saya cuma IRT tp mendengerkan podcast ini, jd membuka wawasan ingin sekali anak² ku kelak seperti beliau, semoga anak² kita kelak bisa seperti beliau² ini ...Aamiin",1 day ago,112
@ridhowicaksono7636,"Saya suka salah satu quote dalam podcast ini.
“Kita butuh lebih banyak orang pintar”",1 day ago,105
@rinasafaringga8069,Gara-gara sering nonton pak Purbaya... sedikit-sedikit agak faham tentang ekonomi 😊,2 days ago,586
@xiladelxia,"jujur utk saya pribadi, sehabis menonton video ini, sepertinya masih ada harapan utk bangsa ini.",1 day ago,186
@__die2799,"Ini contoh menteri yang bukan titipan, bisa kerja nyata hasilnya",2 days ago,362
@adhisimakresna1663,saat Bingung Kenapa Sulit Dapat kerja ... dengar podcast ini ... maka kita bisa ukur level kita dimana 🙏,1 day ago,37
