user,comment,time,votes,Case Folding,stopword removal,Lemmatization,tokens,stemming
@arismhvideo4891,"Seorang Mentri keuangan, diwawancara oleh seorang ekonom. Pemikirannya satu ide. Bahasannya kongkrit, anti normatif. anti mendongeng. INI TERLALU EKSLUSIF. Kapan kalian terakhir dapat tontonan semewah ini??",1 day ago,1.8K,seorang mentri keuangan diwawancara oleh seorang ekonom pemikirannya satu ide bahasannya kongkrit anti normatif anti mendongeng ini terlalu ekslusif kapan kalian terakhir dapat tontonan semewah ini,seorang mentri keuangan diwawancara seorang ekonom pemikirannya satu ide bahasannya kongkrit anti normatif anti mendongeng terlalu ekslusif kapan kalian terakhir tontonan semewah,orang tri uang wawancara orang ekonom pikir satu ide bahas kongkrit anti normatif anti dongeng terlalu ekslusif kapan kalian akhir tonton mewah,"['orang', 'tri', 'uang', 'wawancara', 'orang', 'ekonom', 'pikir', 'satu', 'ide', 'bahas', 'kongkrit', 'anti', 'normatif', 'anti', 'dongeng', 'terlalu', 'ekslusif', 'kapan', 'kalian', 'akhir', 'tonton', 'mewah']",orang tri uang wawancara orang ekonom pikir satu ide bahas kongkrit anti normatif anti dongeng terlalu ekslusif kapan kalian akhir tonton mewah
@project2226,Ngerasa nguping pembicaraan yang ga seharusnya rakyat biasa dengar; terimakasih Pak Gita,2 days ago,2.6K,ngerasa nguping pembicaraan yang ga seharusnya rakyat biasa dengar terimakasih pak gita,ngerasa nguping pembicaraan ga rakyat biasa dengar terimakasih pak gita,ngerasa nguping bicara ga rakyat biasa dengar terimakasih pak gita,"['ngerasa', 'nguping', 'bicara', 'ga', 'rakyat', 'biasa', 'dengar', 'terimakasih', 'pak', 'gita']",ngerasa nguping bicara ga rakyat biasa dengar terimakasih pak gita
@alexanderthegreat1466,"Ayahku cuman tukang rumput ibuku tukang sapu dan aku pelayan resto ,bisa dengerin obrolan gini ... Rasanya bangga",1 day ago,1.1K,ayahku cuman tukang rumput ibuku tukang sapu dan aku pelayan resto bisa dengerin obrolan gini rasanya bangga,ayahku cuman tukang rumput ibuku tukang sapu aku pelayan resto dengerin obrolan gini rasanya bangga,ayah cuman tukang rumput ibu tukang sapu aku layan resto dengerin obrol gin rasa bangga,"['ayah', 'cuman', 'tukang', 'rumput', 'ibu', 'tukang', 'sapu', 'aku', 'layan', 'resto', 'dengerin', 'obrol', 'gin', 'rasa', 'bangga']",ayah cuman tukang rumput ibu tukang sapu aku layan resto dengerin obrol gin rasa bangga
@rizky_wacaw,"Pak Purbaya serasa lebih serius ngbrol disini, karena teman ngobrolnya pak Gita😁, semenjak ada pak Purbaya, ekonomi terlihat seru ya..",1 day ago,278,pak purbaya serasa lebih serius ngbrol disini karena teman ngobrolnya pak gita semenjak ada pak purbaya ekonomi terlihat seru ya,pak purbaya serasa lebih serius ngbrol disini teman ngobrolnya pak gita semenjak pak purbaya ekonomi terlihat seru,pak purbaya serasa lebih serius ngbrol sini teman ngobrolnya pak gita semenjak pak purbaya ekonomi lihat seru,"['pak', 'purbaya', 'serasa', 'lebih', 'serius', 'ngbrol', 'sini', 'teman', 'ngobrolnya', 'pak', 'gita', 'semenjak', 'pak', 'purbaya', 'ekonomi', 'lihat', 'seru']",pak purbaya serasa lebih serius ngbrol sini teman ngobrolnya pak gita semenjak pak purbaya ekonomi lihat seru
@duniabahari1695,"Inii baruu sparing partner yg sepadan, penonton berasaa nonton seminar ekonomii yg isinyaa daging semua.",1 day ago,168,inii baruu sparing partner yg sepadan penonton berasaa nonton seminar ekonomii yg isinyaa daging semua,inii baruu sparing partner yg sepadan penonton berasaa nonton seminar ekonomii yg isinyaa daging semua,ini baruu sparing partner yg padan tonton berasaa nonton seminar ekonomi yg isinyaa daging semua,"['ini', 'baruu', 'sparing', 'partner', 'yg', 'padan', 'tonton', 'berasaa', 'nonton', 'seminar', 'ekonomi', 'yg', 'isinyaa', 'daging', 'semua']",baruu sparing partner yg padan tonton berasaa nonton seminar ekonomi yg isinyaa daging semua
@sssb4442,ini bukan podcast... tapi obrolan berkelas utk kepentingan NKRI..,1 day ago (edited),723,ini bukan podcast tapi obrolan berkelas utk kepentingan nkri,bukan podcast obrolan berkelas utk kepentingan nkri,bukan podcast obrol kelas utk penting nkri,"['bukan', 'podcast', 'obrol', 'kelas', 'utk', 'penting', 'nkri']",bukan podcast obrol kelas utk penting nkri
@nofikurniawan,LUAR BIASA!!  Usia saya 38 Tahun. Rasa haus belajar saya bangkit kembali. ingin ber-sekolah lagi.,1 day ago (edited),624,luar biasa usia saya 38 tahun rasa haus belajar saya bangkit kembali ingin bersekolah lagi,luar biasa usia tahun rasa haus belajar bangkit ingin bersekolah,luar biasa usia tahun rasa haus ajar bangkit ingin sekolah,"['luar', 'biasa', 'usia', 'tahun', 'rasa', 'haus', 'ajar', 'bangkit', 'ingin', 'sekolah']",luar biasa usia tahun rasa haus ajar bangkit sekolah
@muhammadluthfi9901,Setelah banyak berseliweran “sekolah itu scam”. Dari pembicaraan ini kita harusnya sadar seberapa pentingnya sekolah setinggi tingginya,1 day ago,134,setelah banyak berseliweran sekolah itu scam dari pembicaraan ini kita harusnya sadar seberapa pentingnya sekolah setinggi tingginya,banyak berseliweran sekolah scam pembicaraan kita harusnya sadar seberapa pentingnya sekolah setinggi tingginya,banyak seliwer sekolah scam bicara kita harus sadar berapa penting sekolah setinggi tinggi,"['banyak', 'seliwer', 'sekolah', 'scam', 'bicara', 'kita', 'harus', 'sadar', 'berapa', 'penting', 'sekolah', 'setinggi', 'tinggi']",banyak seliwer sekolah scam bicara harus sadar berapa penting sekolah setinggi tinggi
@robysetiawan3944,"Gila sih, ini obrolan daging. Walopun saya tukang paket😅",1 day ago,99,gila sih ini obrolan daging walopun saya tukang paket,gila sih obrolan daging walopun tukang paket,gila sih obrol daging walopun tukang paket,"['gila', 'sih', 'obrol', 'daging', 'walopun', 'tukang', 'paket']",gila sih obrol daging walopun tukang paket
@Nando-dq5hi,"Obrolan Pak Gita dan Pak Purbaya ini akan menjadi arsip masa depan, dengan judul ""Segelintir pemikir indonesia yang berdiskusi bagamana indonesia bisa maju"".",1 day ago,50,obrolan pak gita dan pak purbaya ini akan menjadi arsip masa depan dengan judul segelintir pemikir indonesia yang berdiskusi bagamana indonesia bisa maju,obrolan pak gita pak purbaya akan menjadi arsip masa depan judul segelintir pemikir indonesia berdiskusi bagamana indonesia maju,obrol pak gita pak purbaya akan jadi arsip masa depan judul gelintir pikir indonesia diskus bagamana indonesia maju,"['obrol', 'pak', 'gita', 'pak', 'purbaya', 'akan', 'jadi', 'arsip', 'masa', 'depan', 'judul', 'gelintir', 'pikir', 'indonesia', 'diskus', 'bagamana', 'indonesia', 'maju']",obrol pak gita pak purbaya jadi arsip masa depan judul gelintir pikir indonesia diskus bagamana indonesia maju
